Date,Open,High,Low,Close,Volume,Close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1690956000000,29650.00000000,29691.49000000,29567.45000000,29567.45000000,1161.78224000,1690959599999,34421909.61312530,23712,502.98698000,14903876.89885980,0
1690959600000,29567.45000000,29647.87000000,29564.00000000,29577.26000000,1387.39059000,1690963199999,41087006.35063260,25028,612.27855000,18131285.66842250,0
1690963200000,29577.25000000,29577.26000000,29378.62000000,29489.55000000,3152.22705000,1690966799999,92904584.88114520,62283,1460.22705000,43031066.96797500,0
1690966800000,29489.54000000,29501.43000000,29419.80000000,29453.52000000,1694.81848000,1690970399999,49931674.71823270,28880,633.35104000,18654916.65394930,0
1690970400000,29453.52000000,29534.33000000,29442.00000000,29531.47000000,866.64979000,1690973999999,25552651.79083950,21174,484.53428000,14285650.57205770,0
1690974000000,29531.46000000,29571.38000000,29501.70000000,29562.49000000,1113.87095000,1690977599999,32894103.43977970,25515,568.63653000,16792894.58554150,0
1690977600000,29562.49000000,29603.80000000,29465.25000000,29466.01000000,1647.68173000,1690981199999,48658697.21243200,31283,837.25784000,24727835.98315280,0
1690981200000,29466.01000000,29467.72000000,29350.00000000,29412.04000000,2127.45408000,1690984799999,62573486.95303810,44353,1061.82366000,31229746.76139410,0
1690984800000,29412.04000000,29412.05000000,29253.33000000,29275.14000000,3031.54839000,1690988399999,88901094.15093690,63020,1452.29658000,42588314.88218220,0
1690988400000,29275.13000000,29362.45000000,29169.04000000,29321.40000000,2724.58120000,1690991999999,79783309.47305400,57564,1307.43353000,38285371.16486930,0
1690992000000,29321.39000000,29364.00000000,28927.50000000,29025.91000000,4997.71444000,1690995599999,145592713.56824990,81756,2374.97109000,69192223.76993710,0
1690995600000,29025.91000000,29254.00000000,28969.71000000,29148.00000000,3048.05478000,1690999199999,88794255.28803100,64285,1520.61829000,44299731.25595930,0
1690999200000,29148.01000000,29160.00000000,29030.00000000,29148.10000000,1759.82053000,1691002799999,51219839.31725830,38844,893.62855000,26008305.31861050,0
1691002800000,29148.09000000,29209.15000000,29132.56000000,29151.56000000,1245.46597000,1691006399999,36331941.18369670,28833,629.20770000,18354693.20928650,0
1691006400000,29151.57000000,29169.47000000,29106.34000000,29137.46000000,621.57022000,1691009999999,18114017.06714530,17164,289.38899000,8433472.97509110,0
1691010000000,29137.45000000,29204.00000000,29066.35000000,29179.56000000,666.70856000,1691013599999,19425070.55030220,19564,352.04518000,10255188.27070220,0
1691013600000,29179.56000000,29233.06000000,29167.71000000,29186.00000000,630.65800000,1691017199999,18418192.01427190,16607,302.06536000,8821249.24766740,0
1691017200000,29186.00000000,29186.66000000,29134.16000000,29186.01000000,764.45008000,1691020799999,22295149.80978270,15858,398.05925000,11610188.30030910,0
1691020800000,29186.00000000,29225.01000000,29163.39000000,29170.68000000,772.19547000,1691024399999,22539892.20717920,19089,307.65742000,8979953.89667520,0
1691024400000,29170.68000000,29275.80000000,29159.96000000,29252.00000000,988.93729000,1691027999999,28890219.24520010,20806,484.84183000,14164119.60284160,0
1691028000000,29251.99000000,29271.55000000,29126.34000000,29176.98000000,1003.53161000,1691031599999,29301483.81164390,21353,437.05865000,12760079.55325550,0
1691031600000,29176.98000000,29182.44000000,29131.00000000,29182.14000000,604.95659000,1691035199999,17638316.72638920,14665,279.51508000,8149804.96682220,0
1691035200000,29182.13000000,29192.00000000,29082.00000000,29136.43000000,743.34781000,1691038799999,21664397.73452940,17032,318.74114000,9289022.72009370,0
1691038800000,29136.43000000,29157.50000000,29092.36000000,29149.00000000,537.79158000,1691042399999,15662878.43391070,16206,261.66811000,7620197.06333410,0
1691042400000,29149.00000000,29157.83000000,29044.04000000,29085.20000000,1128.30213000,1691045999999,32853996.09180400,26014,473.87202000,13799329.62952400,0
1691046000000,29085.19000000,29104.53000000,29013.04000000,29044.17000000,1428.94487000,1691049599999,41522742.90827530,31392,649.94431000,18886177.02746980,0
1691049600000,29044.16000000,29122.04000000,28968.00000000,29122.03000000,1627.58371000,1691053199999,47293537.58053550,42361,788.89688000,22928577.86250220,0
1691053200000,29122.04000000,29163.32000000,29105.14000000,29154.11000000,828.95234000,1691056799999,24150770.85378390,24747,415.35733000,12101729.90269360,0
1691056800000,29154.12000000,29197.78000000,29149.23000000,29176.00000000,532.19527000,1691060399999,15524816.41559800,20077,261.66305000,7633222.38711060,0
1691060400000,29176.01000000,29191.99000000,29129.52000000,29146.01000000,568.35776000,1691063999999,16570323.29150700,19419,269.00232000,7842622.37117360,0
1691064000000,29146.01000000,29163.31000000,29078.43000000,29106.00000000,896.11408000,1691067599999,26096004.33830380,27527,387.35935000,11280019.06416540,0
1691067600000,29105.99000000,29236.56000000,29105.99000000,29195.55000000,1335.00822000,1691071199999,38943921.87395330,37147,737.31721000,21507848.85236560,0
