@relation BTC-Indicators

@attribute index numeric
@attribute Date date yyyy/MM/dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2565,2021/10/9,53929.78125,55397.94531,53735.14453,54968.22266,54968.22266,32491211414,52418.738841,48185.262278,52408.292951,49964.424096,79.850777,1,56603.779553,36611.930214,2227.586051
2566,2021/10/10,54952.82031,56401.30469,54264.25781,54771.57813,54771.57813,39527792364,53357.542413,49011.19364,52999.114246,50605.377967,78.584371,0.973157,57666.985697,36741.501805,2403.596117
2567,2021/10/11,54734.125,57793.03906,54519.76563,57484.78906,57484.78906,42637331698,54553.52623,50100.412111,54120.532949,51522.63278,84.709712,1,58990.393648,37097.205182,2730.542811
2568,2021/10/12,57526.83203,57627.87891,54477.97266,56041.05859,56041.05859,41083758949,55200.132814,51172.306084,54600.66436,52125.089554,83.784608,0.982222,59956.558319,37377.695589,2840.410949
2569,2021/10/13,56038.25781,57688.66016,54370.97266,57401.09766,57401.09766,41684252783,55491.511163,52303.501396,55300.772685,52828.557302,84.368927,0.992299,61076.69412,37508.159788,3002.613765
2570,2021/10/14,57372.83203,58478.73438,56957.07422,57321.52344,57321.52344,36615791366,55993.731029,53269.97489,55805.960373,53427.619454,82.381758,0.935127,61910.528162,38122.50309,3089.130121
2571,2021/10/15,57345.90234,62757.12891,56868.14453,61593.94922,61593.94922,51780081801,57083.174109,54232.618305,57252.957585,54516.463422,82.336423,0.933864,63398.873486,38521.893313,3462.530119
2572,2021/10/16,61609.52734,62274.47656,60206.12109,60892.17969,60892.17969,34250964237,57929.453684,55174.096263,58162.763111,55366.558925,81.182056,0.892179,64475.480711,39213.650151,3659.639327
2573,2021/10/17,60887.65234,61645.52344,59164.46875,61553.61719,61553.61719,29032367511,58898.316407,56127.92941,59010.476631,56191.500027,81.334814,0.823336,65301.231419,40319.688115,3825.128572
2574,2021/10/18,61548.80469,62614.66016,60012.75781,62026.07813,62026.07813,38055562075,59547.071989,57050.299109,59764.377006,56969.443774,80.940815,0.731235,65695.000036,42025.073014,3948.883371
2575,2021/10/19,62043.16406,64434.53516,61622.93359,64261.99219,64261.99219,40471196346,60721.491074,57960.811944,60888.780802,57941.783563,80.787988,0.720337,66201.806824,43788.029117,4179.204254
2576,2021/10/20,64284.58594,66930.39063,63610.67578,65992.83594,65992.83594,40788955582,61948.882257,58720.19671,62164.794586,59015.257213,78.600903,0.564373,67033.981359,45176.048723,4450.101834
2577,2021/10/21,66002.23438,66600.54688,62117.41016,62210.17188,62210.17188,45908121370,62647.260606,59320.495817,62176.13891,59441.245835,70.189801,0,67381.57188,46237.781249,4309.879138
2578,2021/10/22,62237.89063,63715.02344,60122.79688,60692.26563,60692.26563,38434082775,62518.448664,59800.811386,61805.17059,59608.048475,65.166266,0,67243.301042,47674.129822,4029.816081
2579,2021/10/23,60694.62891,61743.87891,59826.52344,61393.61719,61393.61719,26882546034,62590.082593,60259.768139,61702.28224,59846.124303,64.689992,0,67013.236675,49223.560595,3820.417901
2580,2021/10/24,61368.34375,61505.80469,59643.34375,60930.83594,60930.83594,27316183882,62501.113843,60699.715125,61509.420665,59990.752522,63.912241,0,66598.513076,50820.077554,3575.904948
2581,2021/10/25,60893.92578,63729.32422,60691.80078,63039.82422,63039.82422,31064911614,62645.934713,61096.503351,61892.021554,60397.295415,62.899555,0,66626.712423,51944.379379,3511.822299
2582,2021/10/26,63032.76172,63229.02734,59991.16016,60363.79297,60363.79297,34878965587,62089.04911,61405.270092,61509.964408,60392.828422,59.494594,0,66651.299804,52420.026373,3208.12175
2583,2021/10/27,60352,61435.18359,58208.1875,58482.38672,58482.38672,43657076893,61016.127793,61482.505025,60753.069986,60138.102862,52.321802,0,66381.91319,53157.053221,2783.536243
2584,2021/10/28,58470.73047,62128.63281,58206.91797,60622.13672,60622.13672,45257083247,60789.265627,61718.263116,60720.336669,60202.64071,56.511182,0.139578,66129.22728,54075.168037,2589.854878
2585,2021/10/29,60624.87109,62927.60938,60329.96484,62227.96484,62227.96484,36856881767,61008.651229,61763.549946,61097.243712,60472.683927,51.397795,0,66048.433261,54881.936274,2536.696451
2586,2021/10/30,62239.36328,62330.14453,60918.38672,61888.83203,61888.83203,32157938616,61079.396206,61834.739399,61295.140792,60661.503674,52.232995,0.027899,65744.610627,55897.484298,2439.08656
2587,2021/10/31,61850.48828,62406.17188,60074.32813,61318.95703,61318.95703,32241199927,61134.842076,61817.977959,61301.094851,60749.164121,49.472079,0,65681.335138,56344.176584,2289.355602
2588,2021/11/1,61320.44922,62419.00391,59695.18359,61004.40625,61004.40625,36150572843,60844.06808,61745.001396,61226.922701,60783.196405,47.685071,0,65302.283338,57219.56315,2120.863129
