,Date,Open,High,Low,Close,Adj Close,Volume
2681,2022/2/2,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416.0
2682,2022/2/3,36944.80469,37154.60156,36375.53906,37154.60156,37154.60156,18591534769.0
2683,2022/2/4,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792.0
2684,2022/2/5,41501.48047,41847.16406,41038.09766,41441.16406,41441.16406,19652846215.0
2685,2022/2/6,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334.0
2686,2022/2/7,42406.78125,44401.86328,41748.15625,43840.28516,43840.28516,28641855926.0
2687,2022/2/8,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868.0
2688,2022/2/9,44096.70313,44727.80078,43232.96875,44338.79688,44338.79688,23245887300.0
2689,2022/2/10,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537.0
2690,2022/2/11,43571.12891,43810.83203,42114.53906,42407.9375,42407.9375,26954925781.0
2691,2022/2/12,42412.30078,42992.55078,41852.57422,42244.46875,42244.46875,18152390304.0
2692,2022/2/13,42236.56641,42693.05469,41950.94141,42197.51563,42197.51563,14741589015.0
2693,2022/2/14,42157.39844,42775.77734,41681.95703,42586.91797,42586.91797,20827783012.0
2694,2022/2/15,42586.46484,44667.21875,42491.03516,44575.20313,44575.20313,22721659051.0
2695,2022/2/16,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657.0
2696,2022/2/17,43937.07031,44132.97266,40249.37109,40538.01172,40538.01172,26246662813.0
2697,2022/2/18,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704.0
2698,2022/2/19,40026.02344,40418.87891,39713.05859,40122.15625,40122.15625,13736557863.0
2699,2022/2/20,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452.0
2700,2022/2/21,38423.21094,39394.4375,36950.47656,37075.28125,37075.28125,29280402798.0
2701,2022/2/22,37068.76953,38359.85547,36488.93359,38286.02734,38286.02734,25493150450.0
2702,2022/2/23,38285.28125,39122.39453,37201.81641,37296.57031,37296.57031,21849073843.0
2703,2022/2/24,37278.56641,38968.83984,34459.21875,38332.60938,38332.60938,46383802093.0
2704,2022/2/25,38333.74609,39630.32422,38111.34375,39214.21875,39214.21875,26545599159.0
