,CionScore,CoinDate
87,-0.028073503690607408,2022-03-29
88,-0.017245667822220746,2022-03-30
89,-0.31558703382809955,2022-03-31
90,-0.4561600188414256,2022-04-01
91,-0.4515984186530113,2022/04/02
92,0.06020417809486389,2022-04-03
93,-0.0037937370630411003,2022-04-04
94,-0.3971820003107974,2022-04-05
95,-0.27052435966638416,2022-04-06
96,-0.25372791290283203,2022-04-07
97,-0.1172781636317571,2022-04-08
98,-0.11610538199543953,2022/04/09
99,-0.48309770226478577,2022-04-10
100,-0.5849673300981522,2022-04-11
101,-0.26308714917727877,2022-04-12
102,-0.0030521626273790994,2022-04-13
103,-0.2100031484257091,2022-04-14
104,-0.8233482042948405,2022-04-15
105,-0.8151147222518921,2022/04/16
106,-0.4766842722892761,2022-04-17
107,-0.3532213839617642,2022-04-18
108,0.11058197319507598,2022-04-19
109,-0.25604495176902187,2022-04-20
110,0.0399182705502761,2022-04-21
111,-0.25475593904654187,2022-04-22
112,-0.25220837965607645,2022/04/23
113,-0.4700905978679657,2022-04-24
114,-0.6095230281352997,2022-04-25
115,-0.4215592110858244,2022-04-26
116,-0.11688279930283041,2022-04-27
117,-0.043408255366718065,2022-04-28
118,-0.2524906277656555,2022-04-29
119,-0.24996572148799895,2022/04/30
120,-0.8172184228897095,2022-05-01
121,-0.35555648176293625,2022-05-02
122,-0.4165310859680176,2022-05-03
123,0.1196656862894694,2022-05-04
124,-0.244172559844123,2022-05-05
125,-0.5366129116578535,2022-05-06
126,-0.531246782541275,2022/05/07
127,-0.9631620844205221,2022-05-08
128,-0.4867472290992737,2022-05-09
129,-0.24926834305127463,2022-05-10
130,-0.3280400991439819,2022-05-11
131,-0.5226409898863899,2022-05-12
132,-0.7397788961728414,2022-05-13
133,-0.309760183095932,2022-05-14
134,-0.2926299770673116,2022-05-15
135,-0.5317867171196711,2022-05-16
136,-0.12010016043980916,2022-05-17
137,-0.5530233929554621,2022-05-18
138,-0.38028088410695393,2022-05-19
139,-0.8526849746704102,2022-05-20
140,-0.844158124923706,2022/05/21
141,0.924744188785553,2022-05-22
142,-0.13768601417541504,2022-05-23
143,-0.44622321128845216,2022-05-24
144,-0.3409455981519487,2022-05-25
145,-0.5635906391673617,2022-05-26
146,-0.2257704943418503,2022-05-27
147,-0.22351278939843178,2022/05/28
148,-0.38319459557533264,2022-05-29
149,-0.18758192658424377,2022-05-30
150,0.0951580007870992,2022-05-31
151,-0.5293870766957601,2022-06-01
152,-0.26179612676302594,2022-06-02
153,-0.5923552811145782,2022-06-03
154,0.0,2022-06-04
155,0.0,2022-06-05
156,-0.04066338762640953,2022-06-06
157,-0.2880216484720057,2022-06-07
158,-0.25987093557011,2022-06-08
159,-0.3847903543048435,2022-06-09
160,-0.4121417164802551,2022-06-10
161,0.0,2022-06-11
162,0.0,2022-06-12
163,-0.7008094668388367,2022-06-13
164,-0.5779670385213999,2022-06-14
165,-0.5266579362479124,2022-06-15
166,-0.15029280002300555,2022-06-16
167,-0.46068692207336426,2022-06-17
168,-0.8141036629676819,2022-06-18
169,-0.44892147183418274,2022-06-19
170,-0.44184696674346924,2022-06-20
171,-0.0064669592039925715,2022-06-21
172,-0.29639532168706256,2022-06-22
173,-0.11945956519671849,2022-06-23
174,-0.06093338131904602,2022-06-24
175,-0.06032404750585556,2022/06/25
176,-0.46084222197532654,2022-06-26
177,-0.3160917248044695,2022-06-27
178,-0.5568039496739705,2022-06-28
179,-0.4969128370285034,2022-06-29
180,-0.37191213745819895,2022-06-30
181,-0.34418052434921265,2022-07-01
182,-0.4779680669307709,2022-07-02
183,-0.45446521043777466,2022-07-03
184,-0.7711592197418213,2022-07-04
185,-0.08593540721469456,2022-07-05
186,-0.3234736110482897,2022-07-06
187,-0.4213201531342098,2022-07-07
188,-0.11452379009940407,2022-07-08
189,-0.11337855219841003,2022/07/09
190,0.0,2022-07-10
191,-0.36746600696018766,2022-07-11
192,-0.6352058438693776,2022-07-12
193,-0.5128707335545466,2022-07-13
194,-0.1368205950540655,2022-07-14
195,0.2048175513744354,2022-07-15
196,0.20276937586069105,2022/07/16
197,-0.46231094002723694,2022-07-17
198,0.5706303460257394,2022-07-18
199,0.12481934884015251,2022-07-19
200,-0.27176371487704193,2022-07-20
201,-0.2079808669430869,2022-07-21
202,-0.35453153053919473,2022-07-22
203,-0.8939171433448792,2022-07-23
204,0.0,2022-07-24
205,-0.49847071468830106,2022-07-25
206,-0.4288305263770254,2022-07-26
207,0.17314743399620056,2022-07-27
208,-0.37614909085360443,2022-07-28
209,-0.23398865262667337,2022-07-29
210,-0.23164876610040663,2022/07/30
211,0.29015132784843445,2022-07-31
212,-0.5772942738099531,2022-08-01
213,-0.6904209388626946,2022-08-02
214,-0.17830833594004314,2022-08-03
215,-0.5366735398769379,2022-08-04
216,-0.21612481027841568,2022-08-05
217,-0.21396356217563153,2022/08/06
218,0.6059382557868958,2022-08-07
219,0.04429091513156891,2022-08-08
220,-0.3283539361813489,2022-08-09
221,0.010419671734174093,2022-08-10
222,-0.04006611928343773,2022-08-11
223,-0.16674814522266387,2022-08-12
224,-0.9178240299224854,2022-08-13
225,0.0,2022-08-14
226,-0.434382838010788,2022-08-15
227,-0.5067398707071941,2022-08-16
228,-0.3535626232624054,2022-08-17
229,-0.3121681213378906,2022-08-18
230,-0.5570970525344213,2022-08-19
231,-0.5515260820090772,2022/08/20
232,0.0,2022-08-21
233,-0.24309613612981942,2022-08-22
234,-0.6459896781227805,2022-08-23
235,-0.3586392673579129,2022-08-24
236,-0.09430525700251262,2022-08-25
237,-0.6478562463413585,2022-08-26
238,-0.7635692358016968,2022-08-27
239,0.0,2022-08-28
240,-0.5823368728160858,2022-08-29
241,-0.14624904990196227,2022-08-30
242,-0.5749181906382242,2022-08-31
243,-0.5709716310867896,2022-09-01
244,-0.1625934668949672,2022-09-02
245,0.0,2022-09-03
246,0.0,2022-09-04
247,-0.47699763377507526,2022-09-05
248,-0.17105881497263908,2022-09-06
249,-0.5457768966169918,2022-09-07
250,0.031220963368049033,2022-09-08
251,0.19623472293217978,2022-09-09
252,0.194272375702858,2022/09/10
253,0.0,2022-09-11
254,-0.3296633005142212,2022-09-12
255,-0.3133926004171371,2022-09-13
256,-0.1118867271824887,2022-09-14
257,-0.0549959659576416,2022-09-15
258,-0.5182625502347946,2022-09-16
259,-0.5130799247324467,2022/09/17
260,0.0,2022-09-18
261,-0.38355306478647083,2022-09-19
262,-0.2951056692335341,2022-09-20
263,-0.260065073552339,2022-09-21
264,-0.12783558879579818,2022-09-22
265,-0.5645800630251566,2022-09-23
266,-0.5589342623949051,2022/09/24
267,-0.6418797969818115,2022-09-25
268,-0.27726884186267853,2022-09-26
269,-0.09805012450498693,2022-09-27
270,-0.42382222082879806,2022-09-28
271,-0.09122101962566376,2022-09-29
272,-0.28182096613778007,2022-09-30
273,-0.27900275647640227,2022/10/01
274,0.0,2022-10-02
275,-0.31466358358209784,2022-10-03
276,0.21846009294191995,2022-10-04
277,-0.04903010888533159,2022-10-05
278,-0.14575624962647757,2022-10-06
279,-0.43536029383540154,2022-10-07
280,-0.4310066908970475,2022/10/08
281,0.18851848443349203,2022-10-09
282,-0.436383330821991,2022-10-10
283,-0.4095651068185505,2022-10-11
284,-0.23757677872975666,2022-10-12
285,-0.15494454701741536,2022-10-13
286,-0.008144206122348183,2022-10-14
287,-0.0080627640611247,2022/10/15
288,0.5235649943351746,2022-10-16
289,-0.10015309651692708,2022-10-17
290,-0.12580736875534057,2022-10-18
291,-0.5095310509204865,2022-10-19
292,-0.6652428141007056,2022-10-20
293,-0.22764813899993896,2022-10-21
294,-0.22537165760993957,2022/10/22
295,0.0,2022-10-23
296,-0.14906139175097147,2022-10-24
297,0.07307238280773162,2022-10-25
298,-0.018925202744347707,2022-10-26
299,-0.434377215125344,2022-10-27
